no,tanggal,rate
1,9 Juni 2026,5.50 %
2,20 Mei 2026,5.25 %
3,22 April 2026,4.75 %
4,17 Maret 2026,4.75 %
5,19 Februari 2026,4.75 %
6,21 Januari 2026,4.75 %
7,17 Desember 2025,4.75 %
8,19 November 2025,4.75 %
9,22 Oktober 2025,4.75 %
10,17 September 2025,4.75 %
11,20 Agustus 2025,5.00 %
12,16 Juli 2025,5.25 %
13,18 Juni 2025,5.50 %
14,21 Mei 2025,5.50 %
15,23 April 2025,5.75 %
16,19 Maret 2025,5.75 %
17,19 Februari 2025,5.75 %
18,15 Januari 2025,5.75 %
19,18 Desember 2024,6.00 %
20,20 November 2024,6.00 %
21,16 Oktober 2024,6.00 %
22,18 September 2024,6.00 %
23,21 Agustus 2024,6.25 %
24,17 Juli 2024,6.25 %
25,20 Juni 2024,6.25 %
26,22 Mei 2024,6.25 %
27,24 April 2024,6.25 %
28,20 Maret 2024,6.00 %
29,21 Februari 2024,6.00 %
30,17 Januari 2024,6.00 %
31,21 Desember 2023,6.00 %
32,23 November 2023,6.00 %
33,19 Oktober 2023,6.00 %
34,21 September 2023,5.75 %
35,24 Agustus 2023,5.75 %
36,25 Juli 2023,5.75 %
37,22 Juni 2023,5.75 %
38,25 Mei 2023,5.75 %
39,18 April 2023,5.75 %
40,16 Maret 2023,5.75 %
41,16 Februari 2023,5.75 %
42,19 Januari 2023,5.75 %
43,22 Desember 2022,5.50 %
44,17 November 2022,5.25 %
45,20 Oktober 2022,4.75 %
46,22 September 2022,4.25 %
47,23 Agustus 2022,3.75 %
48,21 Juli 2022,3.50 %
49,23 Juni 2022,3.50 %
50,24 Mei 2022,3.50 %
51,19 April 2022,3.50 %
52,17 Maret 2022,3.50 %
53,10 Februari 2022,3.50 %
54,20 Januari 2022,3.50 %
55,16 Desember 2021,3.50 %
56,18 November 2021,3.50 %
57,19 Oktober 2021,3.50 %
58,21 September 2021,3.50 %
59,19 Agustus 2021,3.50 %
60,22 Juli 2021,3.50 %
61,17 Juni 2021,3.50 %
62,25 Mei 2021,3.50 %
63,20 April 2021,3.50 %
64,18 Maret 2021,3.50 %
65,18 Februari 2021,3.50 %
66,21 Januari 2021,3.75 %
67,17 Desember 2020,3.75 %
68,19 November 2020,3.75 %
69,13 Oktober 2020,4.00 %
70,17 September 2020,4.00 %
71,19 Agustus 2020,4.00 %
72,16 Juli 2020,4.00 %
73,18 Juni 2020,4.25 %
74,19 Mei 2020,4.50 %
75,14 April 2020,4.50 %
76,19 Maret 2020,4.50 %
77,20 Februari 2020,4.75 %
78,23 Januari 2020,5.00 %
79,19 Desember 2019,5.00 %
80,21 November 2019,5.00 %
81,24 Oktober 2019,5.00 %
82,19 September 2019,5.25 %
83,22 Agustus 2019,5.50 %
84,18 Juli 2019,5.75 %
85,20 Juni 2019,6.00 %
86,16 Mei 2019,6.00 %
87,25 April 2019,6.00 %
88,21 Maret 2019,6.00 %
89,21 Februari 2019,6.00 %
90,17 Januari 2019,6.00 %
91,20 Desember 2018,6.00 %
92,15 November 2018,6.00 %
93,23 Oktober 2018,5.75 %
94,27 September 2018,5.75 %
95,15 Agustus 2018,5.50 %
96,19 Juli 2018,5.25 %
97,29 Juni 2018,5.25 %
98,30 Mei 2018,4.75 %
99,17 Mei 2018,4.50 %
100,19 April 2018,4.25 %
101,22 Maret 2018,4.25 %
102,15 Februari 2018,4.25 %
103,18 Januari 2018,4.25 %
104,14 Desember 2017,4.25 %
105,16 November 2017,4.25 %
106,19 Oktober 2017,4.25 %
107,22 September 2017,4.25 %
108,22 Agustus 2017,4.50 %
109,20 Juli 2017,4.75 %
110,15 Juni 2017,4.75 %
111,18 Mei 2017,4.75 %
112,20 April 2017,4.75 %
113,16 Maret 2017,4.75 %
114,16 Februari 2017,4.75 %
115,19 Januari 2017,4.75 %
116,15 Desember 2016,4.75 %
117,17 November 2016,4.75 %
118,20 Oktober 2016,4.75 %
119,22 September 2016,5.00 %
120,19 Agustus 2016,5.25 %
121,21 Juli 2016,5.25 %
122,16 Juni 2016,5.25 %
123,19 Mei 2016,5.50 %
124,21 April 2016,5.50 %
